,2011,2012,2013,2014
Российская Федерация,
Всего,
все население,"15,1","14,7","14,4","14,4"
городское население,"14,5","14,2","13,9",14
сельское население,"16,7","16,1","15,7","15,6"
0,
все население,"8,3","9,5",9,"8,1"
городское население,"7,5","8,9","8,6","7,7"
сельское население,"10,2","10,9","10,2","9,4"
1-4.,
все население,"0,6","0,5","0,5","0,5"
городское население,"0,5","0,5","0,4","0,4"
сельское население,"0,8","0,7","0,7","0,7"
5-9.,
все население,"0,3","0,3","0,3","0,3"
городское население,"0,3","0,3","0,3","0,2"
сельское население,"0,4","0,4","0,4","0,3"
10-14.,
все население,"0,4","0,4","0,4","0,4"
городское население,"0,3","0,3","0,3","0,3"
сельское население,"0,5","0,4","0,5","0,4"
15-19,
все население,"1,2","1,1","1,1","1,1"
городское население,"0,9","0,9","0,9","0,9"
сельское население,"1,8","1,6","1,5","1,4"
20-24,
все население,"2,4","2,4","2,3","2,2"
городское население,"2,1",2,"1,9","1,9"
сельское население,"3,4","3,5","3,4","3,2"
25-29.,
все население,"4,1","3,8","3,6","3,5"
городское население,"3,8","3,6","3,4","3,3"
сельское население,"4,8","4,5","4,4","4,2"
30-34.,
все население,"6,4","6,1","5,9","5,7"
городское население,"6,2",6,"5,8","5,6"
сельское население,"6,9","6,6","6,2","6,3"
35-39.,
все население,"7,7","7,5","7,5","7,8"
городское население,"7,5","7,3","7,4","7,7"
сельское население,"8,2",8,8,"8,1"
40-44.,
все население,"9,1","8,6","8,5","8,7"
городское население,"8,7","8,2","8,2","8,5"
сельское население,"10,1","9,6","9,3","9,4"
45-49,
все население,"12,5","11,7","11,2","11,2"
городское население,12,"11,3","10,8","10,9"
сельское население,"13,6","12,6","12,1","11,9"
50-54,
все население,"17,1","16,2","15,5","15,3"
городское население,"16,7","15,8","15,1",15
сельское население,"18,1","17,1","16,5",16
55-59,
все население,"24,7","23,3","22,1",22
городское население,"24,1","22,9","21,7","21,7"
сельское население,"26,3","24,4","23,1","22,9"
60-64,
все население,"35,3","33,7","32,6",32
городское население,"34,2","32,8","31,9","31,3"
сельское население,"38,4","36,1","34,5","33,8"
65-69,
все население,"45,2","42,6","40,9","41,4"
городское население,"43,9","41,8","40,2",41
сельское население,"49,2","45,2","43,1","42,6"
70-74,
все население,"64,3",64,"62,1","60,4"
городское население,"62,5","62,8","60,8","59,4"
сельское население,"68,8","67,2","65,2","63,1"
75-79,
все население,"91,3","87,5","83,4","83,5"
городское население,"88,5","85,7","81,5","82,5"
сельское население,"97,4","91,5","87,9","86,2"
80-84,
все население,"129,9","129,2","124,7","121,4"
городское население,"126,7","126,3","121,6","118,5"
сельское население,"137,5","135,8","131,3","127,9"
85 и старше,
все население,181,"179,5","175,7","176,9"
городское население,"177,1","177,8","174,8","176,1"
сельское население,"194,8","185,4","178,8","179,5"
Центральный Федеральный округ,
Всего,
все население,"15,2",15,"14,6","14,6"
городское население,"14,3","14,1","13,8","13,8"
сельское население,"19,2","18,7","17,8","17,9"
0,
все население,"7,4","8,7","8,4","7,1"
городское население,"7,2","8,7","8,4","7,3"
сельское население,"8,1","8,3","8,3","6,6"
1-4.,
все население,"0,5","0,4","0,4","0,4"
городское население,"0,5","0,4","0,4","0,4"
сельское население,"0,5","0,6","0,4","0,6"
5-9.,
все население,"0,2","0,3","0,2","0,2"
городское население,"0,2","0,2","0,2","0,2"
сельское население,"0,3","0,3","0,3","0,3"
10-14.,
все население,"0,3","0,3","0,3","0,3"
городское население,"0,3","0,3","0,3","0,3"
сельское население,"0,4","0,3","0,4","0,5"
15-19,
все население,1,1,"0,9",1
городское население,"0,9","0,9","0,9","0,9"
сельское население,"1,4","1,4","1,3","1,4"
20-24,
все население,2,"2,1",2,"2,1"
городское население,"1,9","1,9","1,9","1,9"
сельское население,"2,5","3,1","2,7","2,9"
25-29.,
все население,"3,7","3,5","3,4","3,3"
городское население,"3,5","3,5","3,4","3,2"
сельское население,"4,3","3,8","3,9",4
30-34.,
все население,"5,7","5,6","5,5","5,3"
городское население,"5,4","5,5","5,4","5,2"
сельское население,"6,8","6,2","5,9","5,9"
35-39.,
все население,"6,7","6,7","6,8","7,1"
городское население,"6,5","6,5","6,6","6,9"
сельское население,"7,9",8,"7,4",8
40-44.,
все население,"8,1","7,7","7,4","7,8"
городское население,"7,6","7,2","7,1","7,6"
сельское население,"10,3","9,8","8,9","9,2"
45-49,
все население,"11,3","10,7","10,2","10,1"
городское население,"10,7","10,1","9,7","9,5"
сельское население,14,13,"12,3","12,6"
50-54,
все население,"15,9","15,2","14,3","14,2"
городское население,"15,1","14,4","13,6","13,5"
сельское население,19,"18,1","17,1","16,6"
55-59,
все население,"23,1","22,1","20,8","20,6"
городское население,22,21,"19,9","19,5"
сельское население,"27,3","26,1","23,8","24,5"
60-64,
все население,"32,9","31,6","30,4","29,7"
городское население,"31,2","30,1","29,3","28,3"
сельское население,"39,7","37,8","34,9","35,1"
65-69,
все население,"40,8","38,2","37,2","38,1"
городское население,39,37,"36,1","37,1"
сельское население,"49,4","43,9","42,4","42,7"
70-74,
все население,"59,7","59,5","57,4","55,4"
городское население,"56,9","57,5","55,2","53,6"
сельское население,70,"67,3","65,4","62,7"
75-79,
все население,"85,2","81,5","77,8","77,6"
городское население,"80,8","77,6","74,6","74,9"
сельское население,"99,2","95,1","89,3","87,5"
80-84,
все население,"122,2","120,2","116,1","113,2"
городское население,"116,5","114,7","110,8","107,8"
сельское население,"141,4","138,1","133,3","131,3"
85 и старше,
все население,"160,9","163,7","160,7","159,6"
городское население,"155,2","158,6","156,6","155,8"
сельское население,"191,6","191,2","181,6","177,7"
Белгородская область,
Всего,
все население,"15,4","15,2","14,8",15
городское население,"13,7","13,6","13,4","13,4"
сельское население,"18,7","18,4","17,6","18,2"
0,
все население,"5,8","8,4","7,3","5,4"
городское население,"5,1","8,5","7,1","5,1"
сельское население,"7,3","8,1","7,9",6
1-4.,
все население,"0,3","0,5","0,4","0,4"
городское население,"0,2","0,2","0,3","0,3"
сельское население,"0,5",1,"0,5","0,4"
5-9.,
все население,"0,3","0,2","0,3","0,1"
городское население,"0,4","0,2","0,3",0
сельское население,"0,2","0,4","0,3","0,2"
10-14.,
все население,"0,4","0,2","0,4","0,5"
городское население,"0,2","0,1","0,5","0,4"
сельское население,"0,6","0,3","0,2","0,6"
15-19,
все население,"0,7","0,8","0,7","0,9"
городское население,"0,5","0,7","0,6","0,7"
сельское население,1,1,"0,9","1,1"
20-24,
все население,"2,1","1,9","1,6","1,7"
городское население,"1,8","1,6","1,4","1,6"
сельское население,"2,7","2,7",2,2
25-29.,
все население,"2,5","2,2","2,4","2,8"
городское население,"2,3","2,3","2,2","2,5"
сельское население,"2,9","2,1","2,7","3,5"
30-34.,
все население,"4,2","3,7","4,6","4,1"
городское население,"3,7","3,3","4,6","4,1"
сельское население,"5,4","4,8","4,6","4,3"
35-39.,
все население,"5,5","5,7","5,3","5,9"
городское население,5,"5,4","5,6",6
сельское население,"6,6","6,6","4,7","5,8"
40-44.,
все население,"7,4","6,7","7,3","7,4"
городское население,"6,6","6,5","6,4",7
сельское население,"8,8","7,2",9,"8,3"
45-49,
все население,"9,9","9,6","9,8","9,6"
городское население,"9,7","9,6","9,5",9
сельское население,"10,3","9,7","10,3","10,6"
50-54,
все население,"14,6","14,5","14,1","14,6"
городское население,"14,6","13,6","13,7","14,5"
сельское население,"14,7",16,"14,8","14,7"
55-59,
все население,"22,9","21,1","20,1","21,2"
городское население,"21,4","19,5","20,6","20,1"
сельское население,"25,8","24,2","19,4","23,1"
60-64,
все население,"32,4","31,8","29,9","28,8"
городское население,"31,6",32,"29,2","27,7"
сельское население,"34,1","31,4","31,2","30,8"
65-69,
все население,"44,8","42,5","38,9","39,3"
городское население,"45,3",43,"38,1","39,5"
сельское население,"43,9","41,8","40,2",39
70-74,
все население,"64,6","64,7","62,6","60,4"
городское население,64,"64,5","62,4","59,7"
сельское население,"65,4","64,9","62,9","61,3"
75-79,
все население,"93,7",91,"89,9","86,2"
городское население,"91,9","88,8","90,9","84,5"
сельское население,"95,6","93,6","88,6","88,3"
80-84,
все население,"140,9","138,2","133,4",137
городское население,"139,6","133,5","129,8","133,3"
сельское население,"142,1",143,"137,2","140,8"
85 и старше,
все население,"201,7","207,3","181,4","194,4"
городское население,"216,6","218,5","186,3","188,5"
сельское население,"180,2","191,7",175,"201,7"
Брянская область,
Всего,
все население,"18,1","18,1","17,4","17,7"
городское население,"16,9","17,1","16,3",17
сельское население,"20,6","20,2","19,7","19,3"
0,
все население,"11,2","8,4","11,5","8,9"
городское население,"10,2","9,5","10,3","9,7"
сельское население,"13,1","6,2","13,5","7,4"
1-4.,
все население,"0,6","0,3","0,4","0,6"
городское население,"0,6","0,4","0,4","0,5"
сельское население,"0,6","0,1","0,3","0,6"
5-9.,
все население,"0,1","0,2","0,2","0,2"
городское население,"0,1","0,2","0,1","0,2"
сельское население,0,"0,2","0,2","0,4"
10-14.,
все население,"0,2","0,3","0,3","0,2"
городское население,"0,3","0,5","0,3","0,1"
сельское население,"0,1",0,"0,3","0,2"
15-19,
все население,"1,5","1,3",1,"1,1"
городское население,"1,2","0,9","0,7","0,9"
сельское население,"2,2",2,"1,6","1,7"
20-24,
все население,"2,2","2,7","2,6","2,6"
городское население,"2,1","2,8","2,4","2,3"
сельское население,"2,2","2,5",3,"3,2"
25-29.,
все население,"4,5","4,1","3,6",4
городское население,"4,4","3,9","3,4","3,9"
сельское население,"4,7","4,7","4,2","4,2"
30-34.,
все население,"6,9","5,9","6,3","6,7"
городское население,6,"5,7","5,7","6,8"
сельское население,"9,1","6,4","7,9","6,5"
35-39.,
все население,"8,7","8,8","8,3","9,3"
городское население,"8,4","8,5","7,8","8,8"
сельское население,"9,4","9,4","9,4","10,7"
40-44.,
все население,"10,2",11,"9,9","10,9"
городское население,"9,9","9,6","8,9","9,8"
сельское население,"10,9","13,9","11,9","13,2"
45-49,
все население,"13,9",14,"13,9","13,7"
городское население,"13,5","12,6","13,3","13,3"
сельское население,"14,6","16,6",15,"14,4"
50-54,
все население,"21,2","20,4","18,6","19,5"
городское население,"20,2","19,8",17,"19,3"
сельское население,"23,1","21,7","21,6","19,9"
55-59,
все население,"29,1","27,8","26,1","26,7"
городское население,"27,2","27,4","25,8","25,3"
сельское население,"33,2","28,5","26,8","29,5"
60-64,
все население,"38,9","40,4","37,2","36,4"
городское население,"35,9","37,6","35,9",35
сельское население,"46,8","47,3","40,5","39,8"
65-69,
все население,"51,4","50,4","44,4","45,3"
городское население,"50,2","51,1","43,7","44,3"
сельское население,"53,8","48,9","46,3","47,9"
70-74,
все население,78,"71,5","71,4","68,7"
городское население,"77,2","71,7","69,6","68,8"
сельское население,"79,5","71,3","74,9","68,7"
75-79,
все население,"98,2","97,6","89,6","91,6"
городское население,97,95,"87,7","93,5"
сельское население,100,"101,7","92,9","87,9"
80-84,
все население,"135,8","141,3","137,2","135,5"
городское население,"135,6","139,2","135,2","131,3"
сельское население,"136,2","144,1","139,8","141,6"
85 и старше,
все население,"188,4","205,5","214,9","204,3"
городское население,"182,2","206,2","214,4","218,1"
сельское население,"201,8","203,9","216,1","178,1"
Владимирская область,
Всего,
все население,19,"18,3","18,2",18
городское население,"18,5","17,9","18,2","18,1"
сельское население,"20,4","19,5","18,1","17,8"
0,
все население,"6,5","8,2","9,4",8
городское население,"5,8","7,2","8,9",8
сельское население,"8,9","11,5","11,1",8
1-4.,
все население,"0,4","0,5","0,5","0,3"
городское население,"0,3","0,5","0,4","0,2"
сельское население,"0,7","0,7","0,7","0,7"
5-9.,
все население,"0,4","0,5","0,3","0,2"
городское население,"0,4","0,4","0,3","0,3"
сельское население,"0,4","0,8","0,4","0,1"
10-14.,
все население,"0,3","0,2","0,5","0,4"
городское население,"0,3","0,2","0,5","0,5"
сельское население,"0,6","0,3","0,4","0,3"
15-19,
все население,"1,1","1,1",1,"1,3"
городское население,1,1,1,1
сельское население,"1,7","1,7","1,1","2,3"
20-24,
все население,"2,6","3,2","2,4","2,5"
городское население,"2,5","2,8","2,3","2,5"
сельское население,"2,9","4,7","2,9","2,4"
25-29.,
все население,"5,2","4,6","4,5","4,5"
городское население,"5,2","4,4","4,1","4,6"
сельское население,"4,9","5,5","5,6","4,2"
30-34.,
все население,"7,9","7,3","7,1","6,7"
городское население,"7,4","7,6","7,2","6,4"
сельское население,"9,4","6,3","6,8","7,8"
35-39.,
все население,"9,7","8,8","8,7","8,7"
городское население,"9,7","8,4","8,8","8,6"
сельское население,"9,9","10,2","8,4","9,1"
40-44.,
все население,"11,3","10,7",10,"11,2"
городское население,"10,9","10,7","10,1","11,3"
сельское население,"12,6","10,7","9,8",11
45-49,
все население,"15,3","14,8","13,5","13,7"
городское население,"15,1","14,6","13,1","13,3"
сельское население,"15,9","15,6","14,6",15
50-54,
все население,21,"19,8","18,5",18
городское население,"20,5","19,5","18,1",19
сельское население,"22,4","20,5","19,6","14,9"
55-59,
все население,"29,5","27,4","26,3","25,8"
городское население,"29,1","27,1","26,2","25,1"
сельское население,"30,8","28,5","26,4","27,9"
60-64,
все население,"40,4","39,1",41,"38,6"
городское население,"39,6",38,"42,3","39,4"
сельское население,43,"42,6",37,"36,1"
65-69,
все население,"52,9","46,9","47,3","49,7"
городское население,"53,2","47,7","48,2","51,7"
сельское население,"51,6","44,1","44,2","43,4"
70-74,
все население,"69,9","71,7","72,4","70,2"
городское население,"71,8","74,4","75,3","75,3"
сельское население,"64,1","63,2","63,8","55,1"
75-79,
все население,"107,2","98,3","96,9",94
городское население,"104,8","101,7","103,9",99
сельское население,"113,7","88,8","77,4",80
80-84,
все население,156,145,"148,1","139,7"
городское население,"155,6","145,1","156,7","148,6"
сельское население,"157,3","144,7","126,3","117,8"
85 и старше,
все население,"195,4","192,7","192,8","197,4"
городское население,202,"189,9","201,4","209,5"
сельское население,"172,7","202,6","163,1","159,1"
Воронежская область,
Всего,
все население,"17,6","17,3",17,"17,1"
городское население,"16,1","15,7","15,7","15,9"
сельское население,"20,4","20,2","19,6","19,6"
0,
все население,"7,2","7,2","8,7","5,7"
городское население,"7,7",9,"11,1","6,6"
сельское население,"6,3","3,5","3,8","3,9"
1-4.,
все население,"0,3","0,3","0,5","0,5"
городское население,"0,4","0,3","0,4","0,4"
сельское население,"0,2","0,4","0,7","0,7"
5-9.,
все население,"0,2","0,3","0,2","0,2"
городское население,"0,1","0,2","0,3","0,2"
сельское население,"0,3","0,4","0,2","0,3"
10-14.,
все население,"0,3","0,2","0,3","0,4"
городское население,"0,2","0,3","0,2","0,4"
сельское население,"0,4","0,1","0,6","0,4"
15-19,
все население,1,"1,1",1,"1,1"
городское население,1,"0,8","0,7","0,9"
сельское население,"1,1","1,7","1,7","1,5"
20-24,
все население,"1,9","2,4",2,"2,2"
городское население,"1,4","1,9","1,5","1,7"
сельское население,"3,1","3,9","3,5","3,6"
25-29.,
все население,"3,7","3,5","3,7","4,3"
городское население,"3,7","3,3","3,6","4,2"
сельское население,"3,6","3,9","3,8","4,5"
30-34.,
все население,"5,9","5,4","5,9","6,6"
городское население,"5,6","5,3","5,8","6,5"
сельское население,"6,5","5,8","6,2",7
35-39.,
все население,7,"7,2","7,2","8,7"
городское население,"6,8","6,8","6,6","8,7"
сельское население,"7,4","8,1","8,5","8,7"
40-44.,
все население,"9,1","8,5","9,5","9,4"
городское население,"8,9",8,"9,2","9,7"
сельское население,"9,6","9,4","9,9","8,9"
45-49,
все население,"12,5","12,1","11,4","12,2"
городское население,"11,6","11,6","11,3","11,8"
сельское население,"14,1","12,8","11,6","12,9"
50-54,
все население,17,"16,4","16,5","15,7"
городское население,"16,6","15,9","15,4","15,3"
сельское население,"17,6","17,2","18,3","16,2"
55-59,
все население,"24,4","23,4","22,9","22,3"
городское население,"23,2","21,8","22,7","21,1"
сельское население,"26,6","26,1","23,1","24,4"
60-64,
все население,36,"33,9","33,5","32,1"
городское население,"35,7",32,"33,1","31,8"
сельское население,"36,8","37,5","34,3","32,6"
65-69,
все население,"47,5","42,7","41,2","41,9"
городское население,44,"42,2","40,7","42,2"
сельское население,"53,6","43,7","42,4","41,3"
70-74,
все население,"65,8","68,3","65,4",63
городское население,"63,5","67,3","62,6","61,3"
сельское население,"69,3","69,8","69,7","65,6"
75-79,
все население,"93,6","92,8","87,7","87,3"
городское население,"89,8","88,6","84,3","85,7"
сельское население,"98,3","98,3","92,7","89,6"
80-84,
все население,135,"131,4","126,2","129,5"
городское население,"129,7","124,4","121,5","123,2"
сельское население,"141,8",140,"131,9","137,3"
85 и старше,
все население,"192,9","181,8","184,4","177,2"
городское население,"188,8","178,6","187,5","174,3"
сельское население,"201,1","188,1","178,7","182,2"
Ивановская область,
Всего,
все население,"18,5","17,9","17,2","17,4"
городское население,"18,4","17,9","17,4","17,7"
сельское население,"18,6",18,"16,3","16,4"
0,
все население,"9,7","7,9","8,7","6,8"
городское население,"9,1","7,6","8,3",7
сельское население,"12,5","9,3","10,5","5,8"
1-4.,
все население,"0,6","0,3","0,4","0,4"
городское население,"0,6","0,4","0,3","0,3"
сельское население,"0,8",0,"0,5",1
5-9.,
все население,"0,5","0,2","0,2","0,3"
городское население,"0,4","0,1","0,2","0,3"
сельское население,"0,5","0,2","0,2","0,5"
10-14.,
все население,"0,4","0,3","0,3","0,3"
городское население,"0,4","0,3","0,3","0,2"
сельское население,"0,3",0,"0,3",1
15-19,
все население,1,"0,9",1,1
городское население,"0,9","0,9","1,2",1
сельское население,"1,3","0,9","0,2","1,3"
20-24,
все население,"2,1","2,1","1,7","1,9"
городское население,2,"1,9","1,5","1,8"
сельское население,"2,4","3,1","2,7","2,7"
25-29.,
все население,"4,3","3,9","3,5","3,5"
городское население,"4,6","4,1","3,6","3,6"
сельское население,"3,1","3,1","2,8","2,9"
30-34.,
все население,"6,4","5,7","6,1","6,4"
городское население,"6,8",6,"6,6",7
сельское население,"5,1","4,6","4,1","4,4"
35-39.,
все население,"8,1","7,9","7,8","7,5"
городское население,"8,4","8,1","8,4",8
сельское население,"6,7","7,2","5,6","5,7"
40-44.,
все население,"11,2","8,8","9,4","9,9"
городское население,"11,4","9,1","10,2","9,8"
сельское население,"10,2","7,4","6,5","10,3"
45-49,
все население,"14,4","13,7","12,1","11,6"
городское население,"15,1",14,"12,2","12,2"
сельское население,"12,1","12,7","11,8","9,3"
50-54,
все население,"21,3","20,3","19,1","18,4"
городское население,"22,2","20,8","20,5","18,9"
сельское население,"18,3","18,6","14,6","16,6"
55-59,
все население,"30,2","27,1","25,4",26
городское население,"30,1","27,1","26,1","26,9"
сельское население,"30,4","27,4","23,1","23,2"
60-64,
все население,"39,5","38,4",39,"40,1"
городское население,"37,9","37,9","40,6","40,8"
сельское население,"45,6","40,3","33,1","37,7"
65-69,
все население,"53,3",50,"44,6","49,6"
городское население,"55,3","51,6","44,8","50,9"
сельское население,"45,1","43,6","44,1","44,4"
70-74,
все население,"74,1","74,6",72,"69,7"
городское население,"75,9","75,6","73,8","72,9"
сельское население,"67,5","70,9","65,6","58,5"
75-79,
все население,"107,9","111,9","101,8","97,3"
городское население,"111,2","113,1","103,7",101
сельское население,"97,4",108,"95,6",85
80-84,
все население,"149,1","150,2",139,"142,8"
городское население,"146,7","152,4","139,3","152,3"
сельское население,"157,6","142,6","138,1","111,5"
85 и старше,
все население,"204,5","199,6","195,2","196,6"
городское население,"198,4","209,9","205,2","210,4"
сельское население,"236,4","144,8","149,8","142,5"
Калужская область,
Всего,
все население,17,"17,1","16,4","17,1"
городское население,"16,8","16,7","16,3","17,1"
сельское население,"17,6","18,1","16,8","17,1"
0,
все население,"7,2","10,7","9,4","8,5"
городское население,"6,6","10,1","9,8","8,3"
сельское население,"8,9","12,2","8,3","9,1"
1-4.,
все население,"0,3","0,4","0,4","0,6"
городское население,"0,3","0,3","0,5","0,6"
сельское население,"0,4","0,6",0,"0,7"
5-9.,
все население,"0,2","0,1","0,2","0,3"
городское население,"0,2","0,1","0,1","0,3"
сельское население,"0,2","0,3","0,5","0,5"
10-14.,
все население,"0,1","0,2","0,4","0,7"
городское население,"0,1","0,3","0,4","0,5"
сельское население,"0,2","0,2","0,2","1,4"
15-19,
все население,"1,3","0,9","0,7","1,3"
городское население,"1,1","0,7","0,7","1,1"
сельское население,"1,7","1,3","0,7",2
20-24,
все население,"2,4","2,6","2,5","2,6"
городское население,"2,5","2,1","2,4","2,5"
сельское население,"2,1","4,1","2,8",3
25-29.,
все население,4,"4,2","3,6","3,7"
городское население,"3,8","4,3","3,4","3,9"
сельское население,"4,7","3,9","3,9","3,4"
30-34.,
все население,"6,7","6,4","5,1","6,1"
городское население,"6,9","6,7",5,"6,4"
сельское население,6,"5,5","5,3","4,8"
35-39.,
все население,9,"8,4",8,"10,2"
городское население,"9,5","8,3","8,1","10,5"
сельское население,"7,4","8,7","7,5","9,4"
40-44.,
все население,"10,4","9,4","10,3","10,4"
городское население,"10,4","9,1","10,6","11,1"
сельское население,"10,1","10,5","9,5","8,2"
45-49,
все население,"14,1","12,5","13,1",13
городское население,"13,1","12,7","12,5","12,4"
сельское население,"17,2","12,1","14,8","14,7"
50-54,
все население,"18,1","18,3","16,3","17,5"
городское население,"18,2","17,7","16,1","17,8"
сельское население,18,20,17,"16,6"
55-59,
все население,"26,5","24,9",24,"24,3"
городское население,"25,5","23,7","23,7","23,4"
сельское население,"29,4","28,3","24,9",27
60-64,
все население,"36,6","37,3",34,"35,5"
городское население,"36,2","35,8",34,"34,8"
сельское население,38,"41,9","34,2","37,7"
65-69,
все население,"45,9","44,9","40,6","43,4"
городское население,"46,4",45,"41,1",44
сельское население,"44,1","44,4","39,2","41,5"
70-74,
все население,"67,5","67,9","64,7","65,8"
городское население,"69,1","66,4","62,6","65,8"
сельское население,"62,8",72,"70,8","65,7"
75-79,
все население,"96,8","94,4","84,7","89,3"
городское население,"91,8","94,2","85,9","90,5"
сельское население,"109,6","95,1","81,5","86,2"
80-84,
все население,130,"136,1","144,9",137
городское население,"131,3","136,8","152,2","143,8"
сельское население,"126,3","134,5","126,6","120,1"
85 и старше,
все население,"178,1","190,6","192,2","188,8"
городское население,"180,7","193,6","188,7","202,4"
сельское население,"168,8","180,2","204,2","146,8"
Костромская область,
Всего,
все население,"18,1","17,4","16,9","17,1"
городское население,"16,8","16,2","15,8","15,7"
сельское население,"21,2","20,1","19,4","20,3"
0,
все население,"6,4","8,1","9,1","11,2"
городское население,"5,8","7,7","9,1","8,7"
сельское население,"7,5","8,9","9,2","17,2"
1-4.,
все население,"0,9","0,8","0,6","0,4"
