,2011,2012,2013,2014
Российская Федерация,
Всего,
все население,"12,1","12,1","11,9","11,9"
городское население,"11,5","11,5","11,4","11,5"
сельское население,"13,9","13,7","13,4","13,4"
0,
все население,"6,5","7,7","7,2","6,6"
городское население,"5,8","7,2","6,7","6,2"
сельское население,"8,1",9,"8,4","7,6"
1-4.,
все население,"0,4","0,4","0,4","0,4"
городское население,"0,4","0,4","0,3","0,3"
сельское население,"0,6","0,6","0,5","0,5"
5-9.,
все население,"0,2","0,2","0,2","0,2"
городское население,"0,2","0,2","0,2","0,2"
сельское население,"0,3","0,3","0,3","0,2"
10-14.,
все население,"0,2","0,2","0,2","0,2"
городское население,"0,2","0,2","0,2","0,2"
сельское население,"0,3","0,3","0,3","0,3"
15-19,
все население,"0,5","0,5","0,4","0,5"
городское население,"0,4","0,4","0,4","0,4"
сельское население,"0,8","0,7","0,7","0,6"
20-24,
все население,"0,7","0,7","0,6","0,6"
городское население,"0,7","0,6","0,6","0,5"
сельское население,1,1,1,"0,9"
25-29.,
все население,"1,2","1,1","1,1","1,1"
городское население,"1,2",1,1,1
сельское население,"1,5","1,4","1,3","1,3"
30-34.,
все население,"1,9","1,8","1,8","1,8"
городское население,"1,8","1,7","1,7","1,7"
сельское население,"2,2","2,1","2,1",2
35-39.,
все население,"2,4","2,3","2,3","2,4"
городское население,"2,2","2,2","2,2","2,3"
сельское население,"2,7","2,6","2,6","2,6"
40-44.,
все население,3,"2,9","2,9","2,9"
городское население,"2,9","2,8","2,7","2,8"
сельское население,"3,3","3,2","3,2","3,2"
45-49,
все население,4,"3,8","3,7","3,8"
городское население,"3,8","3,7","3,6","3,7"
сельское население,"4,5","4,3","4,1",4
50-54,
все население,"5,6","5,3","5,1","5,1"
городское население,"5,4","5,1","4,9","4,9"
сельское население,"6,3","5,9","5,6","5,7"
55-59,
все население,"8,4",8,"7,7","7,6"
городское население,8,"7,7","7,3","7,3"
сельское население,"9,8","9,1","8,7","8,5"
60-64,
все население,"12,4","11,8","11,4","11,2"
городское население,"11,9","11,4","11,1","10,8"
сельское население,"14,1","13,1","12,7","12,3"
65-69,
все население,"18,5","17,2","16,6","16,6"
городское население,"17,7","16,6","16,2","16,2"
сельское население,"21,1","19,3","18,1",18
70-74,
все население,30,"29,8","29,2","28,4"
городское население,29,29,"28,5","27,6"
сельское население,"32,5","31,9","31,1","30,5"
75-79,
все население,"52,8","50,6","47,4","47,3"
городское население,"51,3","49,6","46,6","46,5"
сельское население,"56,3","53,2","49,7","49,5"
80-84,
все население,"92,3","92,1","89,8","87,9"
городское население,"90,9","91,5","89,1","87,2"
сельское население,"95,6","93,3","91,6","89,5"
85 и старше,
все население,"172,6",172,"170,6","169,9"
городское население,"169,5","169,8","169,3","169,2"
сельское население,"180,9","178,2","173,9","171,7"
Центральный Федеральный округ,
Всего,
все население,"12,9","13,1","12,9","12,8"
городское население,"11,9","12,2",12,12
сельское население,"17,2","17,1","16,7","16,7"
0,
все население,"5,7","6,9","6,8","5,8"
городское население,"5,6","6,9","6,8","5,9"
сельское население,6,"7,1","6,7","5,5"
1-4.,
все население,"0,4","0,4","0,3","0,3"
городское население,"0,4","0,4","0,3","0,3"
сельское население,"0,4","0,4","0,4","0,4"
5-9.,
все население,"0,2","0,2","0,2","0,2"
городское население,"0,2","0,2","0,2","0,2"
сельское население,"0,2","0,2","0,3","0,2"
10-14.,
все население,"0,2","0,2","0,2","0,2"
городское население,"0,2","0,2","0,2","0,2"
сельское население,"0,2","0,2","0,2","0,2"
15-19,
все население,"0,5","0,4","0,4","0,4"
городское население,"0,4","0,4","0,3","0,4"
сельское население,"0,8","0,6","0,6","0,6"
20-24,
все население,"0,6","0,6","0,6","0,6"
городское население,"0,6","0,6","0,5","0,5"
сельское население,"0,8","0,7","0,8","0,8"
25-29.,
все население,1,1,"0,9","0,9"
городское население,1,"0,9","0,8","0,8"
сельское население,"1,2","1,2","1,2","1,1"
30-34.,
все население,"1,5","1,5","1,5","1,4"
городское население,"1,5","1,5","1,5","1,4"
сельское население,"1,9","1,8","1,9","1,8"
35-39.,
все население,2,2,"1,9",2
городское население,"1,9","1,9","1,8","1,9"
сельское население,"2,6","2,4","2,4","2,5"
40-44.,
все население,"2,6","2,5","2,5","2,5"
городское население,"2,5","2,4","2,4","2,4"
сельское население,3,"2,9",3,3
45-49,
все население,"3,6","3,5","3,3","3,3"
городское население,"3,4","3,3","3,2","3,2"
сельское население,"4,6","4,3","3,9","3,8"
50-54,
все население,5,"4,8","4,6","4,7"
городское население,"4,8","4,6","4,4","4,5"
сельское население,6,"5,5","5,5","5,5"
55-59,
все население,"7,5","7,4","6,9","6,9"
городское население,"7,1",7,"6,6","6,6"
сельское население,"9,2",9,"8,4",8
60-64,
все население,"11,2","10,8","10,6","10,2"
городское население,"10,8","10,4","10,3","9,9"
сельское население,"13,1","12,4","12,1","11,6"
65-69,
все население,"16,6","15,8","15,5","15,4"
городское население,"15,9","15,3","15,3","15,1"
сельское население,"19,7",18,"16,8","16,9"
70-74,
все население,"27,6","28,2","27,6","26,5"
городское население,27,"27,4",27,"25,7"
сельское население,"29,8",31,"29,6","29,7"
75-79,
все население,"50,1","48,5","45,2","45,1"
городское население,"48,6","47,5","44,4","44,3"
сельское население,55,"51,8",48,"48,2"
80-84,
все население,"88,5","89,2",87,"85,6"
городское население,"86,9","88,5","85,9","84,6"
сельское население,"93,3","91,5","90,3","88,7"
85 и старше,
все население,"165,6","167,3","166,2","165,2"
городское население,"161,2","163,8","163,7","162,9"
сельское население,"180,7",179,"174,5","172,9"
Белгородская область,
Всего,
все население,13,13,13,"13,1"
городское население,"10,5","10,7","10,9","10,9"
сельское население,"17,9","17,7","17,3","17,7"
0,
все население,"4,2","5,8","5,5","6,2"
городское население,"3,8","5,3","4,1","5,3"
сельское население,5,"6,9","8,5",8
1-4.,
все население,"0,4","0,3","0,2","0,2"
городское население,"0,1","0,1","0,3","0,2"
сельское население,"0,8","0,7","0,2","0,4"
5-9.,
все население,"0,2","0,1","0,2","0,2"
городское население,"0,3","0,1","0,2","0,3"
сельское население,"0,1","0,1","0,2","0,2"
10-14.,
все население,"0,2","0,2","0,3","0,2"
городское население,0,"0,1","0,3","0,1"
сельское население,"0,3","0,3","0,3","0,3"
15-19,
все население,"0,4","0,5","0,5","0,5"
городское население,"0,3","0,5","0,4","0,4"
сельское население,"0,7","0,5","0,6","0,5"
20-24,
все население,"0,5","0,4","0,3","0,4"
городское население,"0,4","0,4","0,2","0,3"
сельское население,"0,8","0,5","0,4","0,5"
25-29.,
все население,"0,6","0,6","0,5","0,5"
городское население,"0,6","0,5","0,5","0,5"
сельское население,"0,6","0,8","0,4","0,6"
30-34.,
все население,"1,2","1,2","1,3","1,2"
городское население,1,1,"1,1","1,1"
сельское население,"1,6","1,8","1,8","1,7"
35-39.,
все население,"1,7","1,6","1,5","1,6"
городское население,"1,5","1,5","1,4","1,4"
сельское население,"1,9","1,7","1,6","1,9"
40-44.,
все население,"2,1","2,1","2,2","1,7"
городское население,"1,9",2,"2,1","1,7"
сельское население,"2,5","2,3","2,6","1,8"
45-49,
все население,"3,1","3,2","3,2",3
городское население,"2,7",3,"2,9","2,8"
сельское население,"3,9","3,5","3,9","3,6"
50-54,
все население,4,"4,2","4,3","4,4"
городское население,"3,8","3,9",4,"4,4"
сельское население,"4,7","4,8",5,"4,5"
55-59,
все население,7,"6,8","6,9","6,4"
городское население,"6,4","6,7","5,8","6,2"
сельское население,"8,4","6,8","9,4","6,8"
60-64,
все население,"10,6","10,2","10,6","9,7"
городское население,10,"9,6","10,7","9,3"
сельское население,"11,9","11,4","10,4","10,4"
65-69,
все население,"17,9",16,"14,9","15,5"
городское население,"17,8",16,"14,8","14,5"
сельское население,18,"16,2","15,1","17,4"
70-74,
все население,"29,8","30,2","29,4","28,5"
городское население,"29,8",29,"29,3",28
сельское население,"29,7","31,8","29,4","29,3"
75-79,
все население,"54,1","51,1","49,5","50,3"
городское население,"52,8","50,4","51,6","49,7"
сельское население,"55,4","51,9","46,7","51,1"
80-84,
все население,"95,5","94,4","94,8","94,8"
городское население,"97,5","96,2",95,95
сельское население,"93,6","92,7","94,7","94,6"
85 и старше,
все население,"183,5",185,"178,3",184
городское население,"180,2","185,8","184,1","186,5"
сельское население,187,"184,2","172,3","181,4"
Брянская область,
Всего,
все население,"14,5","14,7","14,7","14,6"
городское население,13,"13,3","13,3","13,4"
сельское население,"18,1","17,8","17,9","17,5"
0,
все население,7,"9,3","6,2","9,6"
городское население,"6,4","7,9","6,6","9,7"
сельское население,"8,3",12,"5,5","9,2"
1-4.,
все население,"0,5","0,1","0,2","0,4"
городское население,"0,6","0,2","0,2","0,3"
сельское население,"0,5","0,1","0,3","0,7"
5-9.,
все население,"0,2","0,2","0,1","0,2"
городское население,"0,2","0,1","0,1","0,1"
сельское население,"0,2","0,3","0,1","0,3"
10-14.,
все население,"0,1","0,3","0,2","0,2"
городское население,"0,2","0,2","0,2","0,2"
сельское население,"0,1","0,5","0,2","0,4"
15-19,
все население,"0,6","0,3","0,2","0,4"
городское население,"0,5","0,3","0,2","0,2"
сельское население,"0,8","0,4","0,2","0,7"
20-24,
все население,"0,6","0,7","0,7","0,7"
городское население,"0,7","0,7","0,6","0,7"
сельское население,"0,4","0,7",1,"0,7"
25-29.,
все население,1,"1,3","1,1","1,4"
городское население,1,"1,1","0,8","1,2"
сельское население,1,"1,9","1,9","1,9"
30-34.,
все население,"1,9","1,8","1,9","1,5"
городское население,"1,7","1,9","1,8","1,5"
сельское население,"2,5","1,7","2,2","1,7"
35-39.,
все население,"2,2","2,2","2,2","1,9"
городское население,"2,2",2,"2,1","1,8"
сельское население,"2,3","2,7","2,4","2,1"
40-44.,
все население,"2,8",3,"3,1","3,4"
городское население,"2,6","2,8",3,"3,1"
сельское население,"3,4","3,4","3,3",4
45-49,
все население,4,"3,9","3,4",4
городское население,"3,6","3,8",3,"4,2"
сельское население,"4,7","4,1","4,3","3,4"
50-54,
все население,"5,5","5,1",5,"5,4"
городское население,5,5,"4,9","5,3"
сельское население,"6,8","5,3","5,2","5,7"
55-59,
все население,"8,2","8,1","7,5","7,7"
городское население,"7,9","7,7",7,"6,9"
сельское население,"9,1","9,1","8,7","9,8"
60-64,
все население,"11,4","11,2","11,1",11
городское население,"10,9",11,"10,4","10,5"
сельское население,"12,6","11,7","13,1","12,6"
65-69,
все население,"18,3","16,7","16,9","16,5"
городское население,"16,8","16,5","16,5","15,7"
сельское население,"21,7","17,3","18,2","18,6"
70-74,
все население,"29,9","30,3","30,1","29,1"
городское население,"29,2","30,5","29,7",28
сельское население,"31,3",30,31,"31,1"
75-79,
все население,"54,6","51,5","50,1","47,9"
городское население,"53,7","51,3","50,4","47,6"
сельское население,"55,9","51,9","49,4","48,4"
80-84,
все население,"93,4","93,9","95,5","92,6"
городское население,"94,7","96,8","97,9","96,6"
сельское население,"91,5","89,9","92,1",87
85 и старше,
все население,"186,6","186,4","183,2","180,2"
городское население,"186,2","182,1","182,4",185
сельское население,"187,2","193,5","184,5","172,5"
Владимирская область,
Всего,
все население,"15,6","15,4","15,5","15,3"
городское население,"14,9","14,7","14,9","14,9"
сельское население,"17,9","17,9","17,5","17,1"
0,
все население,"5,7","7,4","5,2","5,9"
городское население,"5,8","8,2","5,1",6
сельское население,"5,2","4,5","5,9","5,4"
1-4.,
все население,"0,3","0,6","0,4","0,4"
городское население,"0,3","0,7","0,5","0,4"
сельское население,"0,5","0,5","0,3","0,5"
5-9.,
все население,"0,3","0,1","0,2","0,3"
городское население,"0,3","0,1","0,1","0,3"
сельское население,"0,3","0,1","0,4","0,4"
10-14.,
все население,"0,2","0,3",0,"0,2"
городское население,"0,1","0,3",0,"0,2"
сельское население,"0,3","0,2","0,2","0,3"
15-19,
все население,"0,8","0,5","0,5","0,4"
городское население,"0,5","0,4","0,3","0,5"
сельское население,"1,7","1,2",1,"0,3"
20-24,
все население,"0,7","0,8","0,7","0,6"
городское население,"0,7","0,8","0,6","0,6"
сельское население,"0,8","0,7","0,9","0,7"
25-29.,
все население,"1,3","1,1","1,3",1
городское население,"1,2",1,"1,2","0,9"
сельское население,"1,9","1,4","1,5","1,2"
30-34.,
все население,"2,2","2,2","1,9","1,8"
городское население,"2,1","1,9","1,7","1,7"
сельское население,"2,7","3,5",3,"2,4"
35-39.,
все население,"3,1","2,7","2,9","2,9"
городское население,"2,8","2,3","2,8","2,8"
сельское население,"4,5","4,4","3,2","3,1"
40-44.,
все население,4,"3,6","3,3","3,5"
городское население,4,"3,2","3,1","3,3"
сельское население,"4,3",5,4,"4,2"
45-49,
все население,"4,8","4,5","4,3","4,4"
городское население,"4,8","4,4","4,1","4,4"
сельское население,"4,8","5,1","5,3","4,3"
50-54,
все население,"6,5",6,"5,3","5,9"
городское население,"6,4","5,7","5,3","5,9"
сельское население,"6,9","6,9","5,3","5,8"
55-59,
все население,"9,3","8,8","8,1","7,7"
городское население,"8,8","8,3",8,"7,4"
сельское население,"11,1","10,7","8,2","8,7"
60-64,
все население,"13,4","12,7","12,2","12,3"
городское население,"13,5","12,3","12,3","12,5"
сельское население,"13,2","14,1",12,"11,5"
65-69,
все население,19,"17,6","19,1","17,7"
городское население,"18,7","17,3","19,8","17,9"
сельское население,"19,8","18,8","16,2",17
70-74,
все население,32,"31,3","32,3","28,5"
городское население,33,"31,8","32,4","29,6"
сельское население,"28,6","29,7","31,7","25,1"
75-79,
все население,60,"56,9","53,4","51,3"
городское население,"58,5","56,9","54,2","52,4"
сельское население,"64,1","56,9","50,9","47,9"
80-84,
все население,"97,6","95,2","98,3","95,4"
городское население,"100,9","98,3","100,7","97,3"
сельское население,89,"87,3","92,3","90,4"
85 и старше,
все население,"184,2","181,9","181,4","185,1"
городское население,"182,6","180,9","181,4","187,3"
сельское население,"188,4","184,7","181,1","179,2"
Воронежская область,
Всего,
все население,"14,5","14,3","14,3","14,4"
городское население,"12,5","12,6","12,5","12,8"
сельское население,"18,3","17,6","17,9","17,9"
0,
все население,5,6,"6,1","5,8"
городское население,"5,3",7,"7,1","6,5"
сельское население,"4,4","4,2","4,2","4,2"
1-4.,
все население,"0,4","0,4","0,4","0,2"
городское население,"0,3","0,5","0,4","0,2"
сельское население,"0,6","0,3","0,4","0,3"
5-9.,
все население,"0,2","0,3","0,2","0,2"
городское население,"0,1","0,2","0,2","0,1"
сельское население,"0,4","0,3","0,2","0,3"
10-14.,
все население,"0,3","0,2","0,1","0,3"
городское население,"0,2","0,2","0,1","0,3"
сельское население,"0,3","0,2","0,2","0,3"
15-19,
все население,"0,5","0,5","0,6","0,3"
городское население,"0,3","0,4","0,4","0,2"
сельское население,"0,8","0,8",1,"0,4"
20-24,
все население,"0,6","0,6","0,5","0,6"
городское население,"0,5","0,6","0,5","0,4"
сельское население,"0,8","0,7","0,6","1,2"
25-29.,
все население,1,"0,7","0,8","0,9"
городское население,"0,9","0,6","0,6","0,8"
сельское население,"1,4","0,8","1,2","1,2"
30-34.,
все население,"1,5","1,4","1,6","1,4"
городское население,"1,5","1,3","1,5","1,3"
сельское население,"1,4","1,8","1,7","1,8"
35-39.,
все население,"1,9",2,"1,8",2
городское население,"1,9","1,9","1,6",2
сельское население,"1,9","2,2","2,1","1,9"
40-44.,
все население,"2,7","2,5","2,7","2,6"
городское население,"2,6","2,4","2,7","2,6"
сельское население,3,"2,8","2,6","2,6"
45-49,
все население,"3,9","3,4","3,4","3,7"
городское население,"3,7","3,1","3,2","3,5"
сельское население,"4,2",4,"3,6",4
50-54,
все население,"5,1",5,"4,6","4,6"
городское население,"4,8","5,1","4,1","4,4"
сельское население,"5,8","4,7","5,4","4,9"
55-59,
все население,"7,2","6,8","6,8",7
городское население,"6,5","6,3","6,1","6,6"
сельское население,"8,5",8,"8,2","7,9"
60-64,
все население,"11,7","10,4","10,3","10,1"
городское население,"11,2","9,6",10,"10,2"
сельское население,"12,8","12,1",11,"9,9"
65-69,
все население,"18,3",16,16,"15,5"
городское население,"17,8","15,2","15,6","14,4"
сельское население,"19,2","17,5","17,1","17,9"
70-74,
все население,"29,1","30,2",30,"29,1"
городское население,"27,9","29,2","29,2","27,1"
сельское население,31,"31,7","31,2","32,1"
75-79,
все население,"51,9","48,8","46,7","47,7"
городское население,"50,4","47,9","45,1","46,9"
сельское население,"53,9","50,1","49,2",49
80-84,
все население,"90,2","91,6","90,1","88,2"
городское население,"87,3","91,2","89,4","87,7"
сельское население,"93,9","92,2",91,"88,8"
85 и старше,
все население,"175,6","167,2",168,"171,8"
городское население,"165,6","164,6",162,"169,1"
сельское население,"189,7","170,8","176,6","175,7"
Ивановская область,
Всего,
все население,"15,7",16,"15,6","15,6"
городское население,"15,4","15,7","15,3","15,3"
сельское население,"16,9","17,5",17,"17,1"
0,
все население,"6,6","4,3","5,9","4,9"
городское население,6,"4,5","5,5","5,1"
сельское население,9,3,"7,8","3,8"
1-4.,
все население,"0,5","0,2","0,5","0,3"
городское население,"0,5","0,2","0,5","0,3"
сельское население,"0,5","0,3","0,5","0,3"
5-9.,
все население,"0,1","0,3","0,3","0,2"
городское население,"0,2","0,3","0,1","0,2"
сельское население,0,0,1,"0,2"
10-14.,
все население,"0,1","0,2","0,1","0,2"
городское население,"0,2","0,3","0,1","0,2"
сельское население,0,0,0,0
15-19,
все население,"0,5","0,6","0,3","0,3"
городское население,"0,5","0,6","0,4","0,4"
сельское население,"0,4","0,7",0,0
20-24,
все население,"0,4","0,4","0,4","0,4"
городское население,"0,5","0,5","0,5","0,3"
сельское население,"0,1","0,2","0,2",1
25-29.,
все население,"1,6","1,3","0,9","1,2"
городское население,"1,6","1,3","0,9","1,1"
сельское население,2,"1,3","0,6","1,3"
30-34.,
все население,"1,8","2,3","2,6","1,9"
городское население,"1,8","2,3","2,7","1,9"
сельское население,"1,7","2,3","1,8",2
35-39.,
все население,"2,5","2,4","2,3","2,9"
городское население,"2,6","2,4",2,"2,9"
сельское население,"2,2","2,4","3,9","3,2"
40-44.,
все население,"3,8","3,4","3,6","3,3"
городское население,"3,9","3,3","3,4","3,4"
сельское население,"2,8","4,2","4,6","3,1"
45-49,
все население,"4,7","4,6","4,2","4,5"
городское население,"4,7","4,4","4,1","4,7"
сельское население,"4,7","5,2","4,7","3,6"
50-54,
все население,"6,5","6,1",6,6
городское население,"6,1",6,"6,2","6,3"
сельское население,"7,9","6,5","5,3","4,7"
55-59,
все население,"8,9","8,6","8,3","8,3"
городское население,"9,2","8,5","8,2","8,2"
сельское население,"7,4","9,2",9,"8,8"
60-64,
все население,"13,5","12,4","12,7","12,7"
городское население,"13,3","12,6","12,4","12,6"
сельское население,"14,8","11,5","14,1","13,2"
65-69,
все население,"18,5","19,3","17,4",17
городское население,"18,5","19,4","17,6","17,2"
сельское население,"18,5","18,6","16,3","16,2"
70-74,
все население,"33,4","33,1","32,6","30,1"
городское население,34,"33,5","32,5","29,9"
сельское население,31,"31,3","33,1","30,7"
75-79,
все население,"57,2",58,"52,6","51,1"
городское население,"57,5","58,6","53,2","51,6"
сельское население,"56,1",56,"50,2","49,3"
80-84,
все население,"96,3",99,"93,7","99,4"
городское население,"96,6",98,"94,7","101,9"
сельское население,"94,9","102,7","90,2","90,6"
85 и старше,
все население,"179,2",183,178,"172,7"
городское население,"179,7","184,6","179,5","169,8"
сельское население,"177,2","176,6","171,8","184,5"
Калужская область,
Всего,
все население,14,"14,6","14,1","13,7"
городское население,13,"13,7","13,4",13
сельское население,"17,4","17,5","16,5","15,7"
0,
все население,"6,5","9,7","9,4","6,1"
городское население,"7,4","8,9","9,7","6,5"
сельское население,"3,8",12,"8,4","4,8"
1-4.,
все население,"0,5","0,5","0,4","0,5"
городское население,"0,6","0,6","0,4","0,4"
сельское население,"0,2","0,2","0,6","0,7"
5-9.,
все население,"0,2","0,2","0,2","0,3"
городское население,"0,2","0,2","0,3","0,3"
сельское население,0,"0,2",0,"0,2"
10-14.,
все население,"0,2","0,2","0,5","0,1"
городское население,"0,2","0,2","0,5","0,2"
сельское население,"0,2","0,2","0,6",0
15-19,
все население,"0,6","0,6","0,4","0,6"
городское население,"0,4","0,7","0,4","0,6"
сельское население,1,"0,5","0,6","0,6"
20-24,
все население,"0,6","0,7",1,"0,9"
городское население,"0,6","0,8","0,9","0,7"
сельское население,"0,6","0,6","1,3","1,7"
25-29.,
все население,"1,1","1,3","1,1","0,9"
городское население,"1,2","1,5","1,1",1
сельское население,1,"0,9","1,3","0,8"
30-34.,
все население,"1,6","1,4","2,2","1,7"
городское население,"1,7","1,4",2,"1,6"
сельское население,"1,4","1,5","2,8",2
35-39.,
все население,"2,6","2,7","2,9","2,4"
городское население,"2,5","2,7","2,9","2,1"
сельское население,"2,8",3,3,"3,5"
40-44.,
все население,3,"2,8","3,1","2,3"
городское население,"3,1","2,6","2,9","2,2"
сельское население,"2,7","3,4",4,"2,9"
45-49,
все население,"4,2","4,5","4,1","3,4"
городское население,4,"4,4","4,1","3,4"
сельское население,"4,9","4,7","4,2","3,1"
50-54,
все население,"5,6","5,4","5,1","4,8"
городское население,"5,3","5,2","4,8","4,7"
сельское население,"6,5","6,2",6,"5,5"
55-59,
все население,"8,4","7,8","7,8","6,8"
городское население,"7,8","7,4","7,8","6,5"
сельское население,11,"9,5","7,9","8,1"
60-64,
все население,"12,1","11,7","10,9","10,5"
городское население,"11,8","11,2","10,6",10
сельское население,"13,5","13,4","11,8","12,1"
65-69,
все население,"19,2","17,9",17,16
городское население,"18,5","17,4","16,7","16,6"
сельское население,"21,5","19,5","18,1","13,9"
70-74,
все население,"28,6","32,2","29,2","26,2"
городское население,"28,1","31,5","29,6","26,3"
сельское население,30,"33,9","28,1","25,9"
75-79,
все население,"53,1","52,6","46,2","49,1"
городское население,"51,2","53,3",47,"49,6"
сельское население,"57,4",51,"44,3","47,7"
80-84,
все население,"93,2","95,5",94,"91,1"
городское население,"94,6","96,9","95,6",93
сельское население,90,"92,4","90,6","86,9"
85 и старше,
все население,"178,2","181,4","174,6","171,3"
городское население,"174,4","179,7","174,2","176,6"
сельское население,"187,2","185,6","175,6",159
Костромская область,
Всего,
все население,"15,2",15,"15,4","14,8"
городское население,"14,1","14,1","14,4","13,6"
сельское население,18,"17,3","18,1",18
0,
все население,"8,5","7,5",8,"6,5"
городское население,"5,9","5,6","9,3","7,5"
сельское население,"14,8","11,9",5,"4,2"
1-4.,
все население,"0,7","0,5","0,3","0,2"
городское население,"0,7","0,5","0,3","0,1"
сельское население,"0,7","0,7","0,2","0,5"
5-9.,
все население,"0,6","0,2","0,1","0,1"
